fighter_url,fight_url,Sig. str,Sig. str. %,Head,Body,Leg,Distance,Clinch,Ground
http://ufcstats.com/fighter-details/23dec7c47cb418f8,http://ufcstats.com/fight-details/d2caa1ddb9de7481,75 of 129,58%,42 of 85,20 of 30,13 of 14,57 of 101,2 of 4,16 of 24
http://ufcstats.com/fighter-details/baa9be02c3e3e038,http://ufcstats.com/fight-details/d2caa1ddb9de7481,32 of 74,43%,20 of 55,5 of 12,7 of 7,30 of 72,1 of 1,1 of 1
http://ufcstats.com/fighter-details/19c591115a58982c,http://ufcstats.com/fight-details/ba8eda6993922ba0,96 of 229,41%,49 of 172,30 of 38,17 of 19,92 of 223,3 of 4,1 of 2
http://ufcstats.com/fighter-details/93b2b7caa457cbea,http://ufcstats.com/fight-details/ba8eda6993922ba0,93 of 249,37%,40 of 168,27 of 44,26 of 37,91 of 244,1 of 4,1 of 1
http://ufcstats.com/fighter-details/e3964ece586e0635,http://ufcstats.com/fight-details/903d588b30a471e8,91 of 171,53%,49 of 119,11 of 19,31 of 33,91 of 171,0 of 0,0 of 0
http://ufcstats.com/fighter-details/68d35296f566792b,http://ufcstats.com/fight-details/903d588b30a471e8,52 of 153,33%,33 of 126,11 of 19,8 of 8,50 of 149,0 of 0,2 of 4
http://ufcstats.com/fighter-details/2997e7fe3c9d3d4a,http://ufcstats.com/fight-details/d4127baf74b0e791,10 of 26,38%,4 of 16,1 of 5,5 of 5,10 of 26,0 of 0,0 of 0
http://ufcstats.com/fighter-details/9dedfdd91070ddd8,http://ufcstats.com/fight-details/d4127baf74b0e791,1 of 9,11%,0 of 7,0 of 1,1 of 1,1 of 9,0 of 0,0 of 0
http://ufcstats.com/fighter-details/0d7b51c9d2649a6e,http://ufcstats.com/fight-details/6c44af21414e4143,90 of 197,45%,61 of 155,7 of 13,22 of 29,80 of 184,8 of 11,2 of 2
http://ufcstats.com/fighter-details/1338e2c7480bdf9e,http://ufcstats.com/fight-details/6c44af21414e4143,97 of 203,47%,63 of 165,26 of 29,8 of 9,92 of 198,4 of 4,1 of 1
http://ufcstats.com/fighter-details/853eb0dd5c0e2149,http://ufcstats.com/fight-details/bf8c5effd23f69c4,18 of 51,35%,11 of 35,5 of 13,2 of 3,15 of 44,0 of 0,3 of 7
http://ufcstats.com/fighter-details/32ab52e5de93092d,http://ufcstats.com/fight-details/bf8c5effd23f69c4,9 of 29,31%,8 of 26,0 of 2,1 of 1,9 of 29,0 of 0,0 of 0
http://ufcstats.com/fighter-details/72db2a14ffa73ece,http://ufcstats.com/fight-details/059f5cf0e9e37627,64 of 129,49%,56 of 119,6 of 8,2 of 2,43 of 97,2 of 2,19 of 30
http://ufcstats.com/fighter-details/193b9d1858bc4df3,http://ufcstats.com/fight-details/059f5cf0e9e37627,65 of 143,45%,41 of 111,24 of 32,0 of 0,44 of 119,4 of 6,17 of 18
http://ufcstats.com/fighter-details/c62fbc117d57b943,http://ufcstats.com/fight-details/dd3d8f7066c145b7,37 of 126,29%,19 of 92,6 of 17,12 of 17,37 of 124,0 of 2,0 of 0
http://ufcstats.com/fighter-details/2cd428e9606856fd,http://ufcstats.com/fight-details/dd3d8f7066c145b7,91 of 184,49%,58 of 146,12 of 16,21 of 22,86 of 177,5 of 7,0 of 0
http://ufcstats.com/fighter-details/e64b96c07d7ce999,http://ufcstats.com/fight-details/3c319d4659e6c8fd,41 of 111,36%,12 of 64,4 of 10,25 of 37,41 of 111,0 of 0,0 of 0
http://ufcstats.com/fighter-details/7ee0fd831c0fe7c3,http://ufcstats.com/fight-details/3c319d4659e6c8fd,55 of 84,65%,44 of 70,1 of 3,10 of 11,55 of 84,0 of 0,0 of 0
http://ufcstats.com/fighter-details/c15fa95b9a12fde4,http://ufcstats.com/fight-details/ea4ff1d77928b029,5 of 8,62%,4 of 7,1 of 1,0 of 0,4 of 7,1 of 1,0 of 0
http://ufcstats.com/fighter-details/f5779a2303ed76ec,http://ufcstats.com/fight-details/ea4ff1d77928b029,4 of 4,100%,1 of 1,0 of 0,3 of 3,3 of 3,0 of 0,1 of 1
http://ufcstats.com/fighter-details/6751eacd16bd59bc,http://ufcstats.com/fight-details/43ebfc8914a39061,70 of 127,55%,40 of 91,9 of 10,21 of 26,58 of 112,1 of 1,11 of 14
http://ufcstats.com/fighter-details/1ae8f3c723aacff4,http://ufcstats.com/fight-details/43ebfc8914a39061,27 of 118,22%,16 of 92,6 of 11,5 of 15,25 of 116,2 of 2,0 of 0
http://ufcstats.com/fighter-details/04835018f90b118c,http://ufcstats.com/fight-details/b9d5c77ae7a8109b,83 of 193,43%,60 of 163,12 of 19,11 of 11,69 of 177,5 of 7,9 of 9
http://ufcstats.com/fighter-details/5078e1dacf9d25f4,http://ufcstats.com/fight-details/b9d5c77ae7a8109b,41 of 97,42%,26 of 75,10 of 17,5 of 5,41 of 94,0 of 3,0 of 0
http://ufcstats.com/fighter-details/a9da3158dd2c2b5a,http://ufcstats.com/fight-details/bfff6cf22c1c569c,73 of 126,57%,44 of 95,15 of 15,14 of 16,59 of 99,0 of 1,14 of 26
http://ufcstats.com/fighter-details/4f140403000158b5,http://ufcstats.com/fight-details/bfff6cf22c1c569c,24 of 79,30%,11 of 61,7 of 10,6 of 8,21 of 73,3 of 4,0 of 2
http://ufcstats.com/fighter-details/6c3b2525436cf5d4,http://ufcstats.com/fight-details/ce75f5ecbc0d3dfd,84 of 176,47%,40 of 112,32 of 49,12 of 15,58 of 141,26 of 33,0 of 2
http://ufcstats.com/fighter-details/dc07493a87dc0a6e,http://ufcstats.com/fight-details/ce75f5ecbc0d3dfd,69 of 140,49%,30 of 87,21 of 33,18 of 20,52 of 114,16 of 25,1 of 1
http://ufcstats.com/fighter-details/32490e80ddab1e5a,http://ufcstats.com/fight-details/ea824ac4b8ed8a35,87 of 170,51%,65 of 147,19 of 20,3 of 3,66 of 142,21 of 28,0 of 0
