fighter_url,fight_url,referee,KD,Sig. str.,Sig. str. %,Total str.,Td,Td %,Sub. att,Rev.,Ctrl
http://ufcstats.com/fighter-details/a9e260472d321361,http://ufcstats.com/fight-details/eaa885cf7ae31e0b,Luke Boutin,0,36 of 84,42%,130 of 218,3 of 5,60%,1,0,5:44
http://ufcstats.com/fighter-details/8e9eb3fc86db0f7d,http://ufcstats.com/fight-details/6ad594777cce2d7d,Marc Goddard,0,7 of 11,63%,13 of 17,0 of 0,---,0,0,0:01
http://ufcstats.com/fighter-details/71505842fb6455c3,http://ufcstats.com/fight-details/6ad594777cce2d7d,Marc Goddard,1,13 of 20,65%,23 of 32,0 of 0,---,1,0,3:54
http://ufcstats.com/fighter-details/dd6103dd7127db1d,http://ufcstats.com/fight-details/d29a82322bb083d9,Andy Social,0,59 of 130,45%,59 of 130,0 of 1,0%,0,0,0:00
http://ufcstats.com/fighter-details/b27a1fcb56a3035a,http://ufcstats.com/fight-details/d29a82322bb083d9,Andy Social,0,34 of 78,43%,34 of 78,0 of 0,---,0,0,0:00
http://ufcstats.com/fighter-details/24656ef4d605c96f,http://ufcstats.com/fight-details/b989d4d7e220b3c1,Jerin Valel,0,109 of 206,52%,110 of 208,0 of 1,0%,0,0,0:00
http://ufcstats.com/fighter-details/6bd02119599741a4,http://ufcstats.com/fight-details/b989d4d7e220b3c1,Jerin Valel,0,95 of 327,29%,95 of 327,0 of 6,0%,0,0,0:02
http://ufcstats.com/fighter-details/f1d64ae34e088832,http://ufcstats.com/fight-details/24581e2b39fe3319,Blake Grice,0,39 of 73,53%,50 of 87,0 of 2,0%,1,0,0:17
http://ufcstats.com/fighter-details/eb8d8c2a95cfccb8,http://ufcstats.com/fight-details/24581e2b39fe3319,Blake Grice,0,24 of 54,44%,39 of 75,4 of 6,66%,0,0,3:49
http://ufcstats.com/fighter-details/b8a85389d115e35a,http://ufcstats.com/fight-details/5256ba94641a4284,Luke Boutin,0,8 of 18,44%,10 of 21,2 of 4,50%,0,0,1:49
http://ufcstats.com/fighter-details/52c2ae6d2f2d2613,http://ufcstats.com/fight-details/5256ba94641a4284,Luke Boutin,1,13 of 27,48%,21 of 37,1 of 2,50%,1,0,2:07
http://ufcstats.com/fighter-details/c0badf3243907e59,http://ufcstats.com/fight-details/de084f0d65421cfa,Marc Goddard,0,45 of 92,48%,87 of 135,6 of 10,60%,1,0,7:33
http://ufcstats.com/fighter-details/d31a5546c0e9b213,http://ufcstats.com/fight-details/de084f0d65421cfa,Marc Goddard,0,31 of 91,34%,48 of 108,0 of 0,---,0,0,0:00
http://ufcstats.com/fighter-details/1a2bf44edb8055b6,http://ufcstats.com/fight-details/f93b074dfd47b4b4,Andy Social,0,68 of 144,47%,75 of 151,0 of 4,0%,3,1,0:47
