fighter_url,fight_url,Sig. str,Sig. str. %,Head,Body,Leg,Distance,Clinch,Ground
http://ufcstats.com/fighter-details/ef5dcb10d2bd4b0f,http://ufcstats.com/fight-details/77f960d82cda0b76,23 of 43,53%,20 of 40,1 of 1,2 of 2,11 of 26,0 of 0,12 of 17
http://ufcstats.com/fighter-details/d9c6f19f958643e9,http://ufcstats.com/fight-details/e72c691b7c68b03a,13 of 20,65%,3 of 6,7 of 11,3 of 3,5 of 11,8 of 9,0 of 0
http://ufcstats.com/fighter-details/0fd5f4b838e890cc,http://ufcstats.com/fight-details/e72c691b7c68b03a,20 of 32,62%,13 of 24,5 of 5,2 of 3,13 of 19,1 of 3,6 of 10
http://ufcstats.com/fighter-details/447f9858ae78f921,http://ufcstats.com/fight-details/7c075e3383198e14,3 of 9,33%,1 of 4,1 of 4,1 of 1,3 of 9,0 of 0,0 of 0
http://ufcstats.com/fighter-details/28d421729451c8ca,http://ufcstats.com/fight-details/7c075e3383198e14,5 of 9,55%,5 of 9,0 of 0,0 of 0,5 of 8,0 of 1,0 of 0
http://ufcstats.com/fighter-details/113df4fde64735c6,http://ufcstats.com/fight-details/017a825c7820d12e,66 of 130,50%,17 of 67,27 of 39,22 of 24,65 of 128,1 of 1,0 of 1
http://ufcstats.com/fighter-details/da22387a0407a2dc,http://ufcstats.com/fight-details/017a825c7820d12e,33 of 74,44%,12 of 45,7 of 13,14 of 16,31 of 72,1 of 1,1 of 1
http://ufcstats.com/fighter-details/beecb672a279223e,http://ufcstats.com/fight-details/3e6067763978d862,30 of 72,41%,18 of 57,5 of 6,7 of 9,29 of 68,1 of 4,0 of 0
http://ufcstats.com/fighter-details/d25240135aee03e5,http://ufcstats.com/fight-details/3e6067763978d862,34 of 76,44%,23 of 60,6 of 10,5 of 6,20 of 61,4 of 5,10 of 10
http://ufcstats.com/fighter-details/6e8f1bcdda94ff45,http://ufcstats.com/fight-details/f9dac7702609669f,28 of 78,35%,10 of 57,8 of 10,10 of 11,28 of 78,0 of 0,0 of 0
http://ufcstats.com/fighter-details/07a74004d964c7f4,http://ufcstats.com/fight-details/f9dac7702609669f,35 of 68,51%,18 of 46,17 of 21,0 of 1,35 of 68,0 of 0,0 of 0
http://ufcstats.com/fighter-details/3753714927f18437,http://ufcstats.com/fight-details/23ddf51ce630028d,57 of 151,37%,41 of 126,14 of 21,2 of 4,57 of 151,0 of 0,0 of 0
http://ufcstats.com/fighter-details/69037fc7730e4225,http://ufcstats.com/fight-details/23ddf51ce630028d,92 of 174,52%,76 of 156,4 of 4,12 of 14,50 of 111,7 of 7,35 of 56
http://ufcstats.com/fighter-details/8eb046f83e82bf26,http://ufcstats.com/fight-details/0a598768f5c8d540,41 of 86,47%,30 of 74,5 of 5,6 of 7,36 of 74,4 of 6,1 of 6
http://ufcstats.com/fighter-details/095854a135e6db55,http://ufcstats.com/fight-details/0a598768f5c8d540,24 of 60,40%,14 of 46,10 of 14,0 of 0,16 of 50,6 of 8,2 of 2
http://ufcstats.com/fighter-details/150ff4cc642270b9,http://ufcstats.com/fight-details/d7507e2741fd4d05,198 of 375,52%,103 of 253,64 of 80,31 of 42,182 of 351,0 of 1,16 of 23
http://ufcstats.com/fighter-details/029eaff01e6bb8f0,http://ufcstats.com/fight-details/d7507e2741fd4d05,109 of 255,42%,94 of 235,6 of 10,9 of 10,102 of 243,3 of 6,4 of 6
http://ufcstats.com/fighter-details/2e5c2aa8e4ab9d82,http://ufcstats.com/fight-details/23c963be9de38205,99 of 159,62%,34 of 89,41 of 46,24 of 24,87 of 141,3 of 3,9 of 15
http://ufcstats.com/fighter-details/9d83f6da776ff7d6,http://ufcstats.com/fight-details/23c963be9de38205,48 of 104,46%,29 of 79,14 of 20,5 of 5,48 of 104,0 of 0,0 of 0
http://ufcstats.com/fighter-details/3a46b268013afede,http://ufcstats.com/fight-details/5dde61734080ac4a,82 of 173,47%,53 of 126,13 of 22,16 of 25,60 of 137,17 of 27,5 of 9
http://ufcstats.com/fighter-details/8a1f3b5c526cd6e6,http://ufcstats.com/fight-details/5dde61734080ac4a,77 of 149,51%,49 of 106,13 of 26,15 of 17,54 of 107,6 of 7,17 of 35
http://ufcstats.com/fighter-details/82a5152216251682,http://ufcstats.com/fight-details/acc961fd5cf5c62e,47 of 124,37%,24 of 93,15 of 23,8 of 8,38 of 109,3 of 5,6 of 10
http://ufcstats.com/fighter-details/98a58c26c5b1ed17,http://ufcstats.com/fight-details/acc961fd5cf5c62e,55 of 97,56%,42 of 82,9 of 10,4 of 5,42 of 82,9 of 11,4 of 4
http://ufcstats.com/fighter-details/511e82663651438d,http://ufcstats.com/fight-details/a95b03e9b5a91e47,80 of 195,41%,27 of 100,42 of 81,11 of 14,77 of 189,0 of 0,3 of 6
http://ufcstats.com/fighter-details/4148802ae4a50768,http://ufcstats.com/fight-details/a95b03e9b5a91e47,52 of 182,28%,19 of 125,27 of 48,6 of 9,50 of 180,1 of 1,1 of 1
http://ufcstats.com/fighter-details/60425d07ef4b91a7,http://ufcstats.com/fight-details/d2cb92fdf6a497e9,49 of 151,32%,33 of 126,13 of 22,3 of 3,49 of 151,0 of 0,0 of 0
http://ufcstats.com/fighter-details/18d01f7f8338ae72,http://ufcstats.com/fight-details/d2cb92fdf6a497e9,96 of 232,41%,52 of 161,26 of 50,18 of 21,79 of 207,5 of 7,12 of 18
http://ufcstats.com/fighter-details/7acbb0972e75281a,http://ufcstats.com/fight-details/8e1feda9141602f1,109 of 253,43%,98 of 239,5 of 7,6 of 7,99 of 240,4 of 5,6 of 8
http://ufcstats.com/fighter-details/2f181c0467965b98,http://ufcstats.com/fight-details/8e1feda9141602f1,111 of 224,49%,86 of 194,18 of 23,7 of 7,100 of 210,4 of 4,7 of 10
http://ufcstats.com/fighter-details/3920d0cc288f9b0d,http://ufcstats.com/fight-details/df2ed8b509fbdbdc,47 of 77,61%,34 of 58,5 of 11,8 of 8,34 of 62,5 of 5,8 of 10
