fighter_url,fight_url,referee,significant_strikes_landed,significant_strikes_attempted,significant_strike_accuracy,head_strikes_landed,head_strikes_attempted,body_strikes_landed,body_strikes_attempted,leg_strikes_landed,leg_strikes_attempted,distance_strikes_landed,distance_strikes_attempted,clinch_strikes_landed,clinch_strikes_attempted,ground_strikes_landed,ground_strikes_attempted,total_strikes_landed,total_strikes_attempted,takedowns_landed,takedowns_attempted,takedown_accuracy,knockdowns,submission_attempts,reversals,control_time_seconds,significant_strike_accuracy_opponent
113df4fde64735c6,017a825c7820d12e,Jason Herzog,66,130,0.5,17,67,27,39,22,24,65,128,1,1,0,1,66,133,0,0,,0,0,0,19,0.5
da22387a0407a2dc,017a825c7820d12e,Jason Herzog,33,74,0.44,12,45,7,13,14,16,31,72,1,1,1,1,36,78,1,5,0.2,0,1,0,232,0.44
beecb672a279223e,3e6067763978d862,Daniel Movahedi,30,72,0.41,18,57,5,6,7,9,29,68,1,4,0,0,77,122,1,3,0.33,0,0,0,18,0.41
d25240135aee03e5,3e6067763978d862,Daniel Movahedi,34,76,0.44,23,60,6,10,5,6,20,61,4,5,10,10,82,140,1,4,0.25,0,0,0,251,0.44
6e8f1bcdda94ff45,f9dac7702609669f,Jim Perdios,28,78,0.35,10,57,8,10,10,11,28,78,0,0,0,0,29,80,0,0,,0,0,0,0,0.35
07a74004d964c7f4,f9dac7702609669f,Jim Perdios,35,68,0.51,18,46,17,21,0,1,35,68,0,0,0,0,35,68,0,3,0.0,0,0,0,0,0.51
3753714927f18437,23ddf51ce630028d,Jason Herzog,57,151,0.37,41,126,14,21,2,4,57,151,0,0,0,0,60,154,0,4,0.0,0,0,0,5,0.37
69037fc7730e4225,23ddf51ce630028d,Jason Herzog,92,174,0.52,76,156,4,4,12,14,50,111,7,7,35,56,108,194,0,0,,6,0,0,163,0.52
8eb046f83e82bf26,0a598768f5c8d540,Jim Perdios,41,86,0.47,30,74,5,5,6,7,36,74,4,6,1,6,92,150,0,0,,0,0,2,171,0.47
095854a135e6db55,0a598768f5c8d540,Jim Perdios,24,60,0.4,14,46,10,14,0,0,16,50,6,8,2,2,80,140,1,11,0.09,0,0,1,305,0.4
150ff4cc642270b9,d7507e2741fd4d05,Jason Herzog,198,375,0.52,103,253,64,80,31,42,182,351,0,1,16,23,201,378,0,0,,1,0,0,92,0.52
029eaff01e6bb8f0,d7507e2741fd4d05,Jason Herzog,109,255,0.42,94,235,6,10,9,10,102,243,3,6,4,6,109,255,0,1,0.0,1,1,0,12,0.42
2e5c2aa8e4ab9d82,23c963be9de38205,Herb Dean,99,159,0.62,34,89,41,46,24,24,87,141,3,3,9,15,102,162,0,2,0.0,1,0,0,13,0.62
9d83f6da776ff7d6,23c963be9de38205,Herb Dean,48,104,0.46,29,79,14,20,5,5,48,104,0,0,0,0,48,104,0,0,,0,0,0,0,0.46
3a46b268013afede,5dde61734080ac4a,Mike Beltran,82,173,0.47,53,126,13,22,16,25,60,137,17,27,5,9,111,207,1,4,0.25,1,0,0,127,0.47
8a1f3b5c526cd6e6,5dde61734080ac4a,Mike Beltran,77,149,0.51,49,106,13,26,15,17,54,107,6,7,17,35,111,189,0,1,0.0,2,0,0,214,0.51
82a5152216251682,acc961fd5cf5c62e,Dan Miragliotta,47,124,0.37,24,93,15,23,8,8,38,109,3,5,6,10,59,145,0,0,,0,0,0,8,0.37
98a58c26c5b1ed17,acc961fd5cf5c62e,Dan Miragliotta,55,97,0.56,42,82,9,10,4,5,42,82,9,11,4,4,71,114,5,9,0.55,0,0,0,164,0.56
511e82663651438d,a95b03e9b5a91e47,Kerry Hatley,80,195,0.41,27,100,42,81,11,14,77,189,0,0,3,6,81,196,0,1,0.0,1,0,0,22,0.41
4148802ae4a50768,a95b03e9b5a91e47,Kerry Hatley,52,182,0.28,19,125,27,48,6,9,50,180,1,1,1,1,52,182,0,0,,0,0,0,8,0.28
60425d07ef4b91a7,d2cb92fdf6a497e9,Chris Hill,49,151,0.32,33,126,13,22,3,3,49,151,0,0,0,0,54,156,0,5,0.0,0,0,0,9,0.32
18d01f7f8338ae72,d2cb92fdf6a497e9,Chris Hill,96,232,0.41,52,161,26,50,18,21,79,207,5,7,12,18,102,238,1,4,0.25,1,0,0,140,0.41
7acbb0972e75281a,8e1feda9141602f1,Bassel Mahgoub,109,253,0.43,98,239,5,7,6,7,99,240,4,5,6,8,115,262,0,0,,0,0,1,77,0.43
